"CTNAME","PopTotal","HabKm2","PctFRev","TxChomage","PctImmigrant","PctImgRecent","PctMenage1pers","PctFamilleMono","PctLangueMaternelleFR","PctLangueMaternelleAN","PctLangueMaternelleAU"
"0057.00",1150,7896,39.565,8.065,47.982,13.453,60.274,14.286,33.068,11.155,55.378
"0058.00",1115,7371,21.973,7.826,46.377,12.56,65.563,12.195,45.794,9.346,44.86
"0059.00",1365,6732,16.117,10.577,28.92,6.62,54.217,7.018,59.925,13.858,25.843
"0060.00",1245,13624,29.719,22.222,46.899,0,54.31,39.623,29.915,4.274,64.957
"0061.00",670,3089,8.209,8.247,34.266,4.895,50.633,16,49.624,21.805,29.323
"0062.00",2410,2909,7.261,6.032,37.843,9.412,58.609,13,37.263,21.684,40.842
"0063.00",1065,2931,7.981,8.163,41.935,13.978,65,21.622,22.967,18.182,58.852
"0064.00",1745,7268,7.45,12.791,42.973,13.784,54.634,14.286,21.581,22.492,56.231
"0065.01",6880,50282,7.049,15.546,39.407,17.787,59.408,13.918,15.432,15.586,68.904
"0065.02",3605,24822,10.125,17.456,38.936,16.947,56.849,17.073,21.387,24.711,54.046
"0066.01",2935,12834,9.199,14.61,36.471,13.277,45.741,12.5,19.464,17.5,63.214
"0066.02",2165,11994,19.169,12.093,40.139,12.065,73.597,13.559,26.044,25.307,48.403
"0067.00",1810,12347,9.116,15.183,37.297,5.946,40.123,30.588,38.279,27.893,33.828
"0068.00",1875,11655,9.067,23.529,44.898,1.02,37.313,46.988,21.902,26.225,51.297
"0069.01",3715,8538,11.171,9.825,38.243,8.784,42.785,11.675,34.986,21.955,43.059
"0069.02",1465,5650,3.413,4.803,29.31,7.931,56.044,14.085,60.498,15.658,23.843
"0070.01",2000,7629,5,5.846,26.303,4.218,58.14,7.071,53.23,21.189,25.84
"0070.02",2980,8353,1.846,3.96,26.7,7.794,61.823,6.202,58.19,17.161,24.649
"0072.00",3555,1376,10.97,8.223,23.75,4.722,46.369,30.857,51.603,30.904,17.638
"0073.00",1840,5577,16.848,8.081,21.307,4.545,57.848,21.176,59.497,22.067,18.156
"0074.00",3565,8902,7.854,10.714,18.12,3.815,37.463,29.189,53.052,32.122,14.971
"0075.00",2785,9009,10.592,9.434,20.037,4.596,45.263,27.82,60.556,18.704,20.556
"0076.00",2895,7849,11.917,7.955,20.394,3.22,49.524,25.352,59.14,22.043,18.817
"0077.00",2750,6583,14.364,12.583,36.314,4.197,45.62,30.714,42.553,21.083,36.557
"0078.00",3950,10605,18.228,6.701,34.416,2.338,45.61,20.874,40.479,24.501,35.02
"0079.00",4585,7695,11.123,6.452,21.076,4.83,50.877,20,57.531,22.31,20.159
"0080.00",780,8663,5.769,11.364,22.156,5.988,35,16.129,45.333,37.333,16.667
"0081.00",3465,13179,5.195,6.238,19.54,3.592,55.213,14.094,54.97,27.108,17.922
"0082.00",2200,7335,8.182,8.714,21.171,6.081,41.553,30.612,54.632,23.04,22.565
"0083.00",3320,8043,8.886,6.904,16.914,3.709,44.068,23.952,65.831,21.63,12.696
"0084.00",2395,6954,23.591,11.194,23.395,4.762,51.128,28.704,60.304,20.39,19.089
"0085.00",725,604,9.655,13.514,19.549,1.504,38.235,32.432,59.286,17.857,22.143
"0086.00",3995,7580,19.274,8.207,18.905,4.229,45.585,20.69,69.962,11.28,18.758
"0087.00",3405,12979,7.93,9.577,26.923,5.983,38.291,30.168,60.676,13.518,25.653
"0088.00",3465,10262,21.068,7.887,15.843,3.634,47.568,21.053,71.449,13.177,15.227
"0089.00",4890,9299,15.44,7.795,27.607,7.15,42.116,21.951,57.783,12.9,29.318
"0090.00",4585,10528,15.485,8.333,35.062,8.343,40,22.176,49.604,11.438,38.958
"0092.00",5920,10603,19.764,9.333,27.787,5.152,40.787,22.186,55.212,11.042,33.834
"0093.00",3175,4319,12.126,7.629,22.15,6.678,40.717,25.61,65.971,13.804,20.225
"0094.01",6045,3372,12.572,11.934,42.534,10.738,42.399,30.07,19.014,42.958,37.94
