"OID","SRIDU","SRNOM","RMRIDU","Region","KM2","Pop2016","Logement","A014","A1564","A65plus","AgeMoyen","AgeMedian","MaisonIndi","App5Plus","MaisJumule","MaisRangee","AppDuplex","App5Moins","AutreMais","LogMobile","Menage1","MenageMoy","TotFamille","FamMono","RevMedMen","FaibleRev","Immigrant","ImgRec","MinVisible","Proprio","Locataire","PieceLog","LogTailCon","LogTailInc","LogAv60","Log61_80","Log81_90","Log91_00","Log_01_05","Log06_10","Log11_16","ValMedLog","ValMoyLog","LoyerMed","LoyerMoy","HabKm2","Hab1000Km2"
"523","4620881.02","0881.02","462","Montérégie",0.629989,3625,1792,14.48,71.03,14.34,40.1,38.7,20.11,2.79,0.84,0.28,15.64,58.94,1.4,0,43.58,2,925,23.78,44928,22.11,18.43,5.37,18.58,36.06,63.94,4.7,96.07,3.93,40.9,39.78,5.88,5.04,0.84,1.96,5.6,250302,265106,721,775,5754.06872183483,5.75406872183483
"524","4620758.06","0758.06","462","Montérégie",20.7023,5597,2024,21.89,67.02,11.08,37.7,40.1,85.68,0,0.49,0.25,1.48,10.12,0.49,1.48,16.3,2.8,1685,15.43,87808,6.79,6.7,0.54,6.43,85.4,14.6,7.3,98.28,1.72,6.4,18.23,25.37,14.53,22.17,10.84,2.46,299824,315199,951,981,270.356433826193,0.270356433826193
"525","4620740.01","0740.01","462","Laurentides",99.8292,1904,904,11.05,68.68,20.53,47.2,52.6,98.34,0,1.1,0,0.55,0,0,0,31.49,2.1,600,6.67,61184,14.96,4.99,0,0.52,89.5,10.5,6.3,98.89,1.11,21.43,25.82,14.84,9.89,7.14,13.19,7.69,235520,253267,715,672,19.0725759597392,0.0190725759597392
"526","4620903.11","0903.11","462","Montérégie",3.86768,3892,1274,22.88,71.85,5.27,34.6,38.4,74.8,0,9.84,3.54,0.39,11.42,0,0,11.37,3.1,1120,15.63,127781,2.57,2.62,0.65,3.4,86.96,13.04,8.1,97.24,2.76,0,5.6,13.2,48.4,22,10.8,0,374825,408568,916,898,1006.28800728085,1.00628800728085
"527","4620852.01","0852.01","462","Montérégie",57.5152,8617,3058,20.94,68.56,10.5,37.3,39,83.17,0,5.39,0,4.41,5.88,1.14,0,14.89,2.8,2605,9.79,102912,3.66,6.97,0.58,3.89,93.29,6.71,8,99.18,0.82,10.49,22.3,12.79,9.84,16.39,9.02,19.18,379122,428733,835,876,149.821264639608,0.149821264639608
"528","4620858.04","0858.04","462","Montérégie",2.88086,5524,1971,19.46,65.7,14.84,39.5,40.5,73.48,0,16.41,0.25,3.79,5.81,0.25,0,14.94,2.8,1680,11.61,86158,4.89,24.62,2.86,23.39,91.41,8.59,7,97.73,2.27,2.77,59.95,9.82,7.81,3.27,3.53,12.85,275546,292376,1057,917,1917.4829738342,1.9174829738342
"529","4620858.05","0858.05","462","Montérégie",10.4253,3011,1087,18.44,71.59,9.97,38,39.9,76.04,0,7.37,0.46,4.61,11.06,0.46,0,18.43,2.8,885,14.12,84160,5.01,18.56,0.8,21.73,88.84,11.16,6.9,95.52,4.48,8.04,22.77,16.96,31.7,6.25,5.8,8.48,299800,302093,742,767,288.816628778069,0.288816628778069
"530","4620876.06","0876.06","462","Montérégie",1.04327,5687,2354,19.09,67.99,12.93,38.6,39.1,23.57,0.21,8.7,14.23,0.21,53.08,0,0,28.3,2.4,1600,21.88,60365,18.41,21.87,6,23.19,49.68,50.32,5.6,94.7,5.3,4.47,45.53,21.28,24.47,2.13,1.06,1.06,275670,285606,764,790,5451.12962128692,5.45112962128692
"531","4620833.00","0833.00","462","Montérégie",63.9367,6320,2490,20.33,67.64,12.03,38,38.6,59,0,9.4,1.2,2.2,10,0.4,17.8,21.49,2.5,1920,13.28,79842,6.26,3.65,0.63,4.13,85.94,14.06,6.5,98.99,1.01,11.27,22.94,11.07,7.65,17.51,9.86,19.72,279221,294990,869,837,98.8477666191718,0.0988477666191718
"532","4620604.01","0604.01","462","Montréal",0.960555,3241,1138,16.33,62.56,21.11,43,44.8,66.67,0,0.88,0,5.7,26.75,0,0,17.62,2.8,930,13.98,80384,8.2,37.48,3.9,25.64,77.53,22.47,6.9,92.11,7.89,24.67,62.11,3.52,3.96,1.32,2.64,1.76,460224,513734,870,884,3374.09102029556,3.37409102029556
"533","4620604.02","0604.02","462","Montréal",0.350876,4501,1752,23,61,16.11,38.2,37.9,0.57,0,2.57,0,2.57,94.29,0,0,27.43,2.6,1250,23.6,50304,23.83,53.36,10.03,47.55,25.43,74.57,4.7,83.82,16.18,11.49,70.4,13.79,2.59,0.57,0.57,0.57,665490,643634,805,834,12827.8936148383,12.8278936148383
"534","4620650.01","0650.01","462","Laval",0.789018,4483,1601,15.85,61.27,22.99,43.5,45.1,42.99,0.31,8.1,1.25,1.25,46.11,0,0,21.18,2.8,1280,17.97,56555,19.13,46.88,4.36,22.97,62.99,37.01,6,94.16,5.84,22.33,69.9,3.24,2.91,0,0,1.62,375242,387804,800,823,5681.74617055631,5.68174617055631
"535","4620650.02","0650.02","462","Laval",0.750692,4080,1453,18.5,63.11,18.26,40.2,39.8,26.64,0,0.69,0,1.73,70.93,0,0,24.05,2.8,1110,18.92,49488,25.77,53.99,11.74,38.5,49.67,50.33,5.5,88.74,11.26,23.76,55.78,7.92,4.95,3.63,2.64,1.32,376495,381300,762,812,5434.98532021122,5.43498532021122
"536","4620700.01","0700.01","462","Lanaudière",1.35949,4737,2335,13.82,62.87,23.31,44.5,45.4,18.42,0,4.28,0.64,17.99,57.39,1.28,0,41.76,1.9,1250,33.6,45952,22.64,4.54,1.02,5.56,38.83,61.17,4.8,96.96,3.04,31.96,35.43,11.3,10.87,2.17,4.13,4.13,240420,251175,780,806,3484.39488337538,3.48439488337538
"537","4620630.02","0630.02","462","Laval",2.27525,5186,1918,14.45,57.9,27.55,46.4,49.8,72.99,7.01,9.35,1.04,0.26,9.35,0,0,19.79,2.6,1545,11.97,98816,4.98,19.4,0.4,11.45,89.32,10.68,7.3,98.69,1.31,4.43,67.19,11.98,9.11,4.95,1.56,0.78,421103,464677,718,796,2279.30996593781,2.27930996593781
"538","4620632.01","0632.01","462","Laval",1.56279,4964,1992,15.02,63.21,21.77,44.4,47.7,67.17,0,2.51,0,3.01,26.57,0.5,0.25,25.13,2.5,1465,17.06,69348,8.69,25.43,2.32,21.59,70.52,29.48,6.4,97.05,2.95,12.29,54.05,24.82,5.16,1.97,0.49,1.23,300775,321818,805,841,3176.37046564158,3.17637046564158
"539","4620652.01","0652.01","462","Laval",3.09342,8413,2853,19.2,64.8,16.05,40.4,41.5,70.75,1.23,4.2,5.08,0.35,18.39,0,0,18.39,2.8,2335,12.85,90937,7.66,26.73,1.63,21.83,86.32,13.68,7.1,96.85,3.15,8.57,31.82,11.36,13.29,11.71,17.13,6.12,375788,530983,796,880,2719.64363067414,2.71964363067414
"540","4620687.09","0687.09","462","Lanaudière",21.1977,3536,1294,21.78,68.46,9.9,36.8,37.4,74.23,0,2.69,0,10,3.08,0.38,9.62,19.69,2.7,1030,16.5,84565,6.65,7.77,0.29,9.34,86.38,13.62,6.8,96.51,3.49,4.3,21.88,21.09,15.63,9.77,15.63,11.72,279374,284649,683,723,166.810550201201,0.166810550201201
"541","4620740.03","0740.03","462","Laurentides",46.8386,7040,2637,20.79,70.26,8.87,37.1,38.9,87.5,0,2.84,0,7.77,0.38,0.19,1.33,18.98,2.7,2095,11.46,79339,7.6,3.23,0.29,1.22,90.46,9.54,6.8,97.32,2.68,3.63,15.68,6.69,27.72,15.68,15.87,14.72,250695,274364,803,805,150.303382253099,0.150303382253099
"542","4620681.00","0681.00","462","Lanaudière",37.385,3439,1435,15.7,69.48,14.68,41.2,43.2,57.14,0,13.94,0.35,8.01,19.86,0.35,0.35,25.09,2.4,1055,15.64,72414,8.8,1.76,0.29,2.05,77.7,22.3,6.2,98.61,1.39,14.58,19.1,19.1,26.39,6.6,5.21,9.03,225268,279225,772,782,91.9887655476795,0.0919887655476796
"543","4620328.00","0328.00","462","Montréal",0.456324,1940,798,24.74,63.66,11.86,36,36.3,0,0,0,5.03,1.26,93.71,0,0,35.63,2.4,485,37.11,35157,45.36,50.65,12.53,48.95,1.26,98.74,4.4,90.51,9.49,58.86,27.22,6.96,6.96,0,0,0,0,0,604,659,4251.36525801843,4.25136525801843
"544","4620605.01","0605.01","462","Montréal",1.39037,3491,1585,16.64,58.25,25.25,44.2,45.1,1.58,25.63,0.32,0,7.91,64.56,0,0,39.75,2.2,935,23.53,45082,22.96,46.11,5.48,34.49,32.41,67.59,4.6,92.62,7.38,11.08,66.15,7.08,1.54,4.31,9.23,0.62,500940,484042,726,752,2510.84243762452,2.51084243762452
"545","4620605.02","0605.02","462","Montréal",0.595063,1998,729,14.79,59.15,26.32,45.8,48.4,76.03,0,2.05,0,0,21.23,0.68,0,18.49,2.7,595,10.92,75051,6.77,41.26,0.97,27.12,81.63,18.37,6.8,95.92,4.08,20.13,67.79,2.68,3.36,2.01,2.68,1.34,450171,483074,751,807,3357.62767975828,3.35762767975828
"546","4620750.04","0750.04","462","Montérégie",1.09654,1986,809,16.08,67.84,15.83,41.1,42.6,67.9,0,9.88,0.62,6.79,14.81,0,0,24.69,2.5,585,16.24,74624,7.56,16.37,0.76,11.34,75.93,24.07,6.6,97.53,2.47,37.04,29.63,9.88,20.99,0,1.23,1.23,269244,280143,828,797,1811.15143998395,1.81115143998395
"547","4620903.12","0903.12","462","Montérégie",1.99788,5990,2140,22.2,70.03,7.76,35.5,38.6,62.76,0,16.86,2.81,0.23,17.33,0,0,17.29,2.8,1770,16.67,108178,2.84,4.13,1.07,5.28,91.61,8.39,7.3,99.07,0.93,0,10.75,8.41,43.46,27.1,4.21,6.07,314674,319308,1046,1029,2998.17806875288,2.99817806875288
"548","4620322.02","0322.02","462","Montréal",0.800495,3850,1673,15.97,65.84,18.31,42.3,44.1,19.46,0,8.68,0,53.29,18.56,0,0,34.73,2.3,1045,19.14,62165,12.98,25.73,4.4,24.67,47.42,52.58,5.2,93.92,6.08,40.18,44.11,9.37,4.53,0.6,0.6,0.6,449279,471298,763,796,4809.52410695882,4.80952410695882
"549","4620325.01","0325.01","462","Montréal",0.40643,3715,1454,18.57,62.58,18.84,40.6,40.4,0,0,0,3.81,60.55,35.64,0,0,26.12,2.6,1055,27.01,53248,18.57,45.91,7.63,53.33,37.72,62.28,5,89.62,10.38,15.33,73.87,8.36,2.44,0,0,0,450208,473575,816,804,9140.56541101789,9.14056541101789
"550","4620876.07","0876.07","462","Montérégie",1.03318,2257,844,12.83,57.08,29.87,48.4,52.2,38.69,0,13.1,9.52,0.6,38.1,0,0,35.12,2.3,545,14.68,69461,9.38,18.62,4.08,17.65,77.11,22.89,5.9,98.18,1.82,1.2,22.75,14.37,28.14,11.98,13.17,8.38,274923,274180,512,630,2184.51770262684,2.18451770262684
"551","4620395.01","0395.01","462","Montréal",7.88027,2731,1090,21.57,61.06,17.37,39.9,38,1.83,0,0.46,0,5.02,92.69,0,0,42.2,2.3,590,51.69,31136,52.93,31.72,9.9,46.46,5.07,94.93,4,87.1,12.9,21.4,55.35,7.91,3.26,6.05,6.05,0,348963,335571,629,609,346.561729483888,0.346561729483888
"552","4620395.02","0395.02","462","Montréal",0.70963,6451,2802,15.1,64.68,20.14,43.1,43.4,2.5,11.25,4.64,11.61,6.43,61.96,0.18,1.43,42.68,2.1,1550,24.52,47776,23.1,32.03,7.59,36.78,33.75,66.25,4.5,91.61,8.39,25.54,38.57,16.61,11.96,1.43,0.71,5.18,349257,350165,708,751,9090.65287544213,9.09065287544213
"553","4620395.03","0395.03","462","Montréal",0.633279,4590,2346,16.01,68.08,16.01,41.9,43.1,9.19,0,2.99,11.75,14.32,61.75,0,0,46.7,2,1185,22.36,54571,17.79,24.97,6.32,21.07,47.67,52.33,4.6,94.06,5.94,16.2,36.03,21.32,14.07,3.84,7.68,0.85,325425,354379,725,750,7247.99022231907,7.24799022231907
"554","4620884.01","0884.01","462","Montérégie",0.741306,3404,1769,11.01,69.9,19.09,41.9,38.3,0,92.63,0,0,0,0,7.37,0,41.36,1.9,890,13.48,53227,25.44,41.28,16.31,44.26,22.28,77.72,3.8,89.66,10.34,2.51,44.41,22.07,9.22,2.79,7.82,11.17,309263,331637,1001,1039,4591.89592422023,4.59189592422023
"555","4620884.02","0884.02","462","Montérégie",1.98893,7460,4128,10.72,59.08,30.21,48.9,51.6,7.62,36.28,4.59,1.45,5.93,42.68,1.45,0,54.72,1.7,1715,20.12,45295,23.08,15.96,4.29,12.1,33.01,66.99,4.5,96.34,3.66,33.9,40.49,12.56,4.27,0.98,3.41,4.39,324272,367709,794,798,3750.76045914135,3.75076045914135
"556","4620725.09","0725.09","462","Laurentides",2.26126,3783,1186,16.38,66.05,17.57,42.4,44.1,67.09,0,23.63,6.33,0,2.95,0,0,13.03,2.8,1035,14.49,93312,3.42,7.67,0.44,7.07,97.03,2.97,7.2,98.73,1.27,1.26,21.85,43.7,26.47,4.2,0.84,1.68,250693,268262,768,774,1672.96109248826,1.67296109248826
"557","4620903.01","0903.01","462","Montérégie",10.5517,7335,2841,16.96,58.38,24.59,44.5,46.4,58.8,0,1.23,0,0,39.79,0.18,0,27.99,2.4,2005,13.72,85632,5.56,5.7,0.22,2.59,74.47,25.53,6.7,98.06,1.94,1.76,52.64,17.78,15.67,8.98,1.76,1.41,349357,370003,793,826,695.148649032857,0.695148649032857
"558","4620725.10","0725.10","462","Laurentides",3.31243,4957,2014,21.19,64.28,14.53,38.5,39.5,40.8,0,1.99,0.25,0.5,56.22,0.25,0,32.51,2.4,1365,14.65,76032,5.81,9.79,0.61,11.21,84.33,15.67,5.9,98.01,1.99,0,1.74,2.74,16.67,22.89,47.26,8.71,224463,282910,818,864,1496.4844540111,1.4964844540111
"559","4620740.04","0740.04","462","Laurentides",50.7787,8979,3317,24.96,68.08,6.96,34.3,35.3,84.64,0,1.96,0.45,10.24,2.41,0.15,0.15,19.91,2.7,2630,11.79,82530,7.8,2.55,0.44,1.55,85.8,14.2,6.8,97.46,2.54,5.55,11.84,7.2,21.14,10.04,24.89,19.34,265975,290561,761,805,176.826110160363,0.176826110160363
"560","4620684.10","0684.10","462","Lanaudière",4.21464,4029,1559,21.59,65.76,12.66,37.1,37.6,57.23,0,5.79,0,1.93,34.73,0.32,0,22.12,2.6,1200,16.67,81038,6.08,9.58,1.23,12.53,73.8,26.2,6.4,96.81,3.19,1.27,16.56,6.05,19.11,17.2,33.44,6.37,290082,301470,876,852,955.95353339787,0.95595353339787
"561","4620684.11","0684.11","462","Lanaudière",3.75867,4502,1761,17.89,69.22,13,39.2,40.6,63.64,0,1.42,1.99,3.98,28.98,0,0,23.23,2.6,1325,18.11,72149,7.68,7.87,1.12,11.46,70.86,29.14,6.3,98.29,1.71,2.85,33.9,24.22,26.21,3.7,7.41,1.71,250455,261101,774,818,1197.76410272783,1.19776410272783
"562","4620888.01","0888.01","462","Montérégie",31.1987,3114,1312,16.69,72.87,10.43,39.4,42.2,34.6,0,7.98,4.94,0,52.47,0,0,27.48,2.4,945,15.87,107520,3.53,6.06,1.12,4.3,94.64,5.36,7,98.09,1.91,3.05,1.15,3.82,7.63,12.6,35.11,36.64,340881,563052,1361,1259,99.8118511348229,0.0998118511348229
"563","4620888.02","0888.02","462","Montérégie",2.44088,5593,2031,17.16,61.75,21,43.5,47.1,76.85,0,10.1,9.36,0,3.69,0,0,16.75,2.7,1690,9.47,117664,2.13,6.46,0.48,4.09,98.52,1.48,8.1,100,0,0,37.38,45.54,10.89,3.47,1.98,0.74,376009,409461,1255,1418,2291.38671298876,2.29138671298876
"564","4620888.03","0888.03","462","Montérégie",2.19299,4558,1826,15.68,54.5,29.82,48.3,52.4,41.64,7.4,3.56,3.84,0.27,43.29,0,0,23.01,2.4,1405,7.83,120393,2.42,5.94,0.34,4.26,95.63,4.37,7,100,0,0,0.54,6.81,10.9,38.42,34.06,9.26,449871,490743,1405,1137,2078.44085016348,2.07844085016348
"565","4620065.01","0065.01","462","Montréal",0.141011,6883,4223,6.25,86.7,7.05,32.5,27.6,0.12,90.41,0,0.59,0.12,8.64,0.12,0,59.41,1.6,970,13.92,19813,59.59,39.41,17.79,70.45,4,96,2.6,77.76,22.24,16.1,50.06,13.04,12.22,4.58,3.06,0.94,400959,624088,905,941,48811.7948245172,48.8117948245172
"566","4620065.02","0065.02","462","Montréal",0.149679,3642,2188,5.91,84.07,10.03,35,29.4,0,69.18,0,0.23,0,30.59,0,0,56.85,1.6,615,17.07,24363,52.29,38.94,16.95,54.2,11.11,88.89,3.1,86.11,13.89,37.27,26.39,6.94,5.56,3.7,3.24,16.9,399554,436656,1097,1149,24332.0706311507,24.3320706311507
"567","4620066.01","0066.01","462","Montréal",0.235689,2939,1584,8.67,82.14,9.18,34.5,29.2,0.31,78.3,0,1.57,0.31,18.87,0.31,0.31,45.74,1.9,560,12.5,26283,52.64,36.47,13.28,63.53,20.25,79.75,3.2,79.19,20.81,26.09,33.23,19.57,11.49,5.9,2.48,1.24,401215,496242,935,1092,12469.8225203552,12.4698225203552
"568","4620066.02","0066.02","462","Montréal",0.186027,2213,1515,6.33,74.89,18.78,40.6,34,0,65.79,0,0.66,1.64,31.91,0,0,73.6,1.4,295,13.56,20088,55.89,40.14,12.06,52.09,10.33,89.67,2.8,91,9,26.17,44.97,16.44,8.05,1.01,0,3.36,448554,526308,741,804,11896.1226058583,11.8961226058583
"569","4620115.01","0115.01","462","Montréal",0.225513,2005,862,14.46,68.58,16.96,40.1,38.8,7.56,0,13.95,0,36.63,41.86,0,0,33.14,2.3,520,17.31,73984,18.45,44.64,11.22,31.97,43.6,56.4,5.7,90.8,9.2,66.86,21.51,3.49,5.23,1.74,0,1.16,749727,753859,926,1108,8890.83999592041,8.89083999592041
"570","4620115.02","0115.02","462","Montréal",0.440094,5866,3421,9.45,69.76,20.7,42.3,37.3,0,80.23,0.15,0,0.29,19.33,0,0,55.56,1.7,1250,17.2,42055,33.28,50.82,18.76,43.09,8.48,91.52,3.4,87.88,12.12,42.57,46.79,4.96,3.06,0.29,0.87,1.46,219619,242260,1001,1054,13328.970629002,13.328970629002
"571","4620188.01","0188.01","462","Montréal",0.155865,2186,1150,14.19,74.6,11.21,38.4,36.3,0.87,2.61,5.22,7.39,14.35,69.13,0.43,0,47.39,1.9,530,21.7,47701,23.34,22.05,6.59,23.18,32.91,67.09,4.3,92.74,7.26,50,27.35,8.12,8.55,0.85,2.14,2.99,401002,422539,695,735,14024.9574952683,14.0249574952683
"572","4620188.02","0188.02","462","Montréal",0.235491,2671,1407,14.23,73.41,12.36,38.7,37.3,1.06,0.35,1.42,7.8,23.05,66.31,0,0,48.4,1.9,615,20.33,45376,21.95,31.43,9.01,27.39,30.25,69.75,4.3,92.17,7.83,47.69,26.69,7.83,8.19,3.91,0.71,4.98,421374,438586,704,740,11342.2593644768,11.3422593644768
"573","4620195.01","0195.01","462","Montréal",0.567555,3479,1609,11.94,52.81,35.25,51.2,52.8,2.48,0,3.41,2.48,10.84,80.8,0,0,49.22,1.9,770,16.23,47040,15.65,29.38,3.95,23.06,31.17,68.83,4.5,95.99,4.01,28,49.85,19.08,2.46,0,0,0.62,518480,513360,775,778,6129.80239800548,6.12980239800548
"574","4620195.02","0195.02","462","Montréal",0.617653,5390,2347,15.68,62.34,21.89,43.4,43.8,0.43,0,4.48,1.28,12.58,81.24,0,0,39.23,2.2,1385,22.74,50624,21.79,38.79,6.15,35.91,32.19,67.81,4.8,92.7,7.3,11.61,64.3,20.65,2.15,0.65,0,0.65,501666,524783,704,730,8726.58272525188,8.72658272525188
"575","4620223.01","0223.01","462","Montréal",0.148995,3883,1484,20.08,67.44,12.48,36.5,35.3,0,3.04,0.34,0,1.01,95.61,0,0,29.39,2.6,970,24.23,36480,37.45,60.97,13.19,73.37,18.71,81.29,3.9,72.88,27.12,46.76,36.52,5.46,7.85,2.05,0.68,0.68,499973,487539,671,680,26061.2772240679,26.0612772240679
"576","4620223.02","0223.02","462","Montréal",0.201096,3085,1186,19.61,65.64,14.75,38.5,37.5,12.61,13.45,0.84,0,0.84,71.85,0.42,0,31.93,2.6,780,24.36,39456,33.23,59.33,12.28,71.29,22.5,77.5,4.1,75.83,24.17,41.25,45.42,6.25,5,2.08,0,0,400243,406271,742,735,15340.9316943152,15.3409316943152
"577","4620251.01","0251.01","462","Montréal",0.489099,3822,1529,13.33,58.3,28.24,47,46.1,7.19,9.15,0.98,0.98,31.37,49.67,0.65,0,37.25,2.2,890,27.53,42010,26.81,45.32,7.85,47.43,29.13,70.87,4.5,90.26,9.74,46.43,37.66,8.77,6.49,0,0,0.65,400162,385745,681,696,7814.36887010605,7.81436887010605
"578","4620251.02","0251.02","462","Montréal",0.243346,2723,1238,16.51,71.74,11.74,38.7,38.1,0.82,0,0.82,0.41,15.51,80,2.04,0.41,40.08,2.2,675,25.93,37760,33.64,50.27,13.46,62.9,28.05,71.95,4.2,86.18,13.82,40.89,35.63,9.31,4.86,2.02,4.86,2.43,379791,362994,653,699,11189.8284746821,11.1898284746821
"579","4620290.01","0290.01","462","Montréal",1.23915,2655,1001,19.77,64.97,15.25,39.1,39.9,24.75,0,30.2,1.49,1.49,41.58,0.5,0,24.5,2.6,745,18.79,69344,11.89,32.3,2.32,26.94,71.86,28.14,5.8,94.95,5.05,2.01,26.13,36.68,9.55,2.51,11.56,11.56,400236,400398,683,737,2142.5977484566,2.1425977484566
"580","4620290.02","0290.02","462","Montréal",1.85172,5738,2227,14.46,66.46,19.08,42.7,44.6,9.87,0,34.98,5.83,0.22,49.1,0,0,23.54,2.6,1690,22.19,60032,11.53,36.01,1.66,24.63,65.92,34.08,5.8,93.72,6.28,1.8,31.46,46.29,9.66,4.49,4.04,2.25,349354,360988,741,753,3098.74063033288,3.09874063033288
"581","4620324.01","0324.01","462","Montréal",0.711275,4894,2130,17.26,66.39,16.24,40.5,40.6,2.34,0,1.4,1.64,66.59,28.04,0,0,37.09,2.3,1285,25.29,49792,23.42,40.31,12.99,35.6,37.76,62.24,4.8,89.72,10.28,21.03,62.15,6.54,6.31,2.1,1.17,0.7,500025,491095,805,831,6880.60173631858,6.88060173631858
"582","4620324.02","0324.02","462","Montréal",0.692391,2806,1148,19.25,65.78,15.15,38.6,37.7,0,0,11.35,0.87,60.7,27.07,0,0,31.88,2.4,745,22.82,50752,20.07,40.97,7.4,49.46,36.84,63.16,4.7,88.11,11.89,14.54,70.04,10.57,2.2,0,0,2.64,425012,464966,683,730,4052.62344542318,4.05262344542318
"583","4620382.01","0382.01","462","Montréal",0.598943,3873,1449,18.71,48.9,32.26,46.7,46.9,25.09,54.98,7.56,0,4.81,7.22,0,0.34,32.53,2.5,970,12.37,67401,16.3,41.13,6.95,13.78,69.58,30.42,5.9,91.99,8.01,10.84,68.53,14.34,1.75,2.8,1.75,0,450532,549965,1149,1188,6466.39162658216,6.46639162658216
"584","4620382.02","0382.02","462","Montréal",1.60985,4445,1475,21.48,60.18,18.34,39.4,39.8,37.29,0,35.93,0,9.83,16.95,0,0,16.27,3,1230,13.01,84301,10.7,40.18,5.14,19.06,75.93,24.07,6.7,91.19,8.81,55.37,37.58,1.68,2.01,1.68,1.01,0.67,499949,504214,802,946,2761.12681305712,2.76112681305712
"585","4620462.01","0462.01","462","Montréal",2.45484,5085,1886,17.4,63.13,19.47,42.2,44.9,73.21,0,2.92,12.47,0,11.41,0,0,20.11,2.7,1495,12.37,103765,6.94,27.18,3.27,13.29,84.35,15.65,7.7,97.88,2.12,29.52,54.26,10.11,4.79,0.8,0.53,0,448943,460794,1035,1159,2071.41809649509,2.07141809649509
"586","4620462.02","0462.02","462","Montréal",3.28349,5952,1901,18.15,66.89,14.96,40.2,42.8,84.25,0,0.52,12.07,0,3.15,0,0,11.84,3.1,1670,11.68,143040,5.84,21.72,2.4,13.56,87.37,12.63,8.9,99.47,0.53,3.17,66.67,14.02,7.41,3.7,2.12,2.91,599160,647151,1242,1303,1812.70538360099,1.81270538360099
"587","4620470.01","0470.01","462","Montréal",3.62199,7159,2563,15.08,62.99,21.93,44,46.9,68.36,8.4,1.95,19.53,0.2,1.56,0,0,18.71,2.7,2085,14.87,98761,6.69,27.12,1.29,17.91,88.48,11.52,7.6,97.66,2.34,2.92,57.12,22.42,7.99,4.29,4.29,0.97,449506,462823,1047,1180,1976.53775962938,1.97653775962938
"588","4620601.01","0601.01","462","Montréal",0.330632,3284,1305,18.72,61.49,19.79,41.4,41.7,0.77,0.77,0,0,35.63,62.84,0,0,30.27,2.5,880,19.89,53860,19.03,47.45,6.65,43.5,35.61,64.39,5.1,88.26,11.74,23.4,67.55,5.28,3.02,0,0.75,0,549484,533171,815,812,9932.49292264512,9.93249292264512
"589","4620858.01","0858.01","462","Montérégie",1.55691,4729,1810,17.02,64.9,17.97,41.4,42,78.18,0,9.94,0,4.7,7.18,0,0,17.96,2.6,1475,16.27,74496,6.98,15.51,1.3,17.57,90.25,9.75,6.7,98.06,1.94,15.79,68.7,4.43,2.22,1.66,2.77,4.43,250438,256126,863,779,3037.42669775388,3.03742669775388
"590","4620858.02","0858.02","462","Montérégie",1.23656,3879,1547,15.46,66.37,18.04,41.9,43.1,63.87,12.26,7.42,2.9,4.84,8.39,0.32,0,23.55,2.5,1155,19.48,61803,12.78,23.8,4.3,27.72,71.7,28.3,6.3,95.5,4.5,20.97,63.87,7.74,1.94,0.97,2.9,1.61,250385,249100,756,797,3136.92825257165,3.13692825257165
"591","4620658.01","0658.01","462","Laval",1.2794,4306,1714,16.03,63.41,20.56,43,45.6,60.7,0,19.94,4.11,0.29,14.96,0,0,22.22,2.5,1325,16.23,67129,7.43,17.25,1.36,18.5,83.86,16.14,6.5,96.83,3.17,2.3,85.34,8.33,2.59,0.57,0.86,0,250299,245740,769,817,3365.64014381741,3.36564014381741
"592","4620658.02","0658.02","462","Laval",0.93246,3173,1206,14.04,67.51,18.77,43.6,47.1,72.61,0,18.26,0,0.41,8.71,0,0,15.77,2.6,1010,11.39,82944,4.89,20,1.79,19.02,94.09,5.91,6.7,98.73,1.27,0.84,59.92,33.76,0.84,0,4.64,0,269865,271328,692,702,3402.82693091393,3.40282693091393
"593","4620658.03","0658.03","462","Laval",5.83976,8117,2980,17.68,68.45,13.92,39.9,41.9,65.49,1.52,7.91,1.85,1.52,21.72,0,0,19.8,2.7,2375,15.79,83934,5.36,20.53,2.16,22.01,86.41,13.59,6.7,96.64,3.36,8.38,31.99,16.08,19.77,9.72,10.22,3.85,299736,341552,851,875,1389.95438168692,1.38995438168692
"594","4620687.10","0687.10","462","Lanaudière",22.6204,8797,2953,25.24,66.8,7.96,34.4,36.2,87.46,0,0.85,0,7.46,4.07,0.17,0,14.58,3,2535,12.82,86768,6.65,12.11,1.53,17.68,90.19,9.81,7.1,96.44,3.56,4.58,21.86,11.69,11.36,21.86,23.73,4.92,299097,292331,924,931,388.896748068116,0.388896748068116
"595","4620873.01","0873.01","462","Montérégie",0.434223,4356,1950,19.29,69.12,11.6,36.3,34.8,5.38,0,2.82,1.03,2.05,88.46,0.26,0,35.38,2.2,1110,34.23,42382,30.16,21.38,9.08,26.52,17.51,82.49,4.4,91.88,8.12,21.12,59.54,9.16,5.6,1.02,1.27,2.29,239827,329006,753,765,10031.7118162787,10.0317118162787
"596","4620873.02","0873.02","462","Montérégie",0.674874,4220,2144,16.59,69.67,13.63,39.2,37.5,6.76,0.47,2.1,0.23,3.26,86.95,0.23,0,42.52,2,1110,31.98,42394,25.95,17,6.9,16.65,16.98,83.02,4.3,93.72,6.28,18.46,57.24,14.49,4.21,0.93,3.04,1.64,229969,240173,735,730,6253.01908208051,6.25301908208051
